Age group,,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness
15 to 20,Mean,4.06,4.73,4.52,4.07,5.58
,SD,1.58,1.22,1.42,1.46,1.1
,n =,79648,79648,79648,79648,79648
,,,,,,
21 to 30,Mean,4.07,4.88,4.78,4.09,5.55
,SD,1.61,1.19,1.41,1.45,1.12
,n =,46530,46530,46530,46530,46530
,,,,,,
31 to 40,Mean,4.17,5.04,4.97,4.25,5.49
,SD,1.64,1.19,1.41,1.45,1.18
,n =,15412,15412,15412,15412,15412
,,,,,,
41 to 50,Mean,4.2,5.28,5.18,4.49,5.46
,SD,1.64,1.17,1.36,1.45,1.2
,n =,8823,8823,8823,8823,8823
,,,,,,
51 to 60,Mean,4.18,5.43,5.35,4.66,5.42
,SD,1.6,1.14,1.31,1.44,1.25
,n =,4135,4135,4135,4135,4135
,,,,,,
61 and older,Mean,4.21,5.5,5.39,4.84,5.39
,SD,1.62,1.15,1.36,1.4,1.27
,n =,885,885,885,885,885
