Age group,,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness
15 to 20,Mean,3.79,4.47,4.41,4.61,5.43
,SD,1.55,1.22,1.39,1.47,1.17
,n =,54973,54973,54973,54973,54973
,,,,,,
21 to 30,Mean,3.73,4.5,4.57,4.64,5.49
,SD,1.54,1.2,1.39,1.46,1.13
,n =,40737,40737,40737,40737,40737
,,,,,,
31 to 40,Mean,3.81,4.55,4.77,4.63,5.49
,SD,1.54,1.21,1.35,1.42,1.12
,n =,14752,14752,14752,14752,14752
,,,,,,
41 to 50,Mean,3.85,4.7,4.96,4.72,5.41
,SD,1.54,1.18,1.35,1.39,1.17
,n =,7668,7668,7668,7668,7668
,,,,,,
51 to 60,Mean,3.87,4.89,5.11,4.8,5.39
,SD,1.54,1.18,1.31,1.38,1.2
,n =,3532,3532,3532,3532,3532
,,,,,,
61 and older,Mean,3.85,4.95,5.26,4.92,5.37
,SD,1.49,1.17,1.3,1.34,1.26
,n =,905,905,905,905,905
